question,answer,subtopic,difficulty,generated_at
What is a stack in computer science?,A stack is a linear data structure that follows the Last-In-First-Out (LIFO) principle. Elements are added (pushed) and removed (popped) from the top of the stack.,Data Structures,Easy,2025-11-27T14:55:44.923833
What is the time complexity of binary search?,The time complexity of binary search is O(log n),as it repeatedly divides the search interval in half.,"Algorithms,Easy",2025-11-27T14:55:44.923854
Explain the difference between a process and a thread.,A process is an instance of a program in execution,while a thread is a smaller unit of execution within a process. Processes have separate memory spaces,"whereas threads within a process share the same memory.,Operating Systems,Easy",2025-11-27T14:55:44.923859
What is a hash table and how does it work?,A hash table stores key-value pairs using a hash function to map keys to indices in an array. Collisions are typically resolved via chaining or open addressing.,Data Structures,Easy,2025-11-27T14:55:44.923863
What is the difference between a linked list and an array?,An array stores elements in contiguous memory locations with fixed size,while a linked list uses nodes containing data and pointers,"allowing dynamic resizing but non-contiguous storage.,Data Structures,Easy",2025-11-27T14:55:44.923867
In operating systems,what is a deadlock?,A deadlock is a situation where two or more processes are unable to proceed because each is waiting for a resource held by the other. The four conditions required for deadlock are mutual exclusion,"hold and wait, no preemption, and circular wait.,Operating Systems,Medium",2025-11-27T14:55:44.923872
What is the purpose of the CAP theorem in distributed systems?,The CAP theorem states that a distributed system can only guarantee two out of three properties: Consistency,Availability,"and Partition tolerance. It highlights trade-offs in system design.,Systems,Medium",2025-11-27T14:55:44.923876
Describe the difference between encryption and hashing.,Encryption converts data into an unreadable format using a key (and can be decrypted),while hashing produces a fixed-size digest of data,"typically for integrity verification, and is irreversible.,Security,Medium",2025-11-27T14:55:44.923879
What is a binary search tree (BST)?,A BST is a node-based data structure where each node has at most two children. For every node,the left subtree contains nodes with values less than the node,"and the right subtree contains nodes with values greater than the node.,Data Structures,Medium",2025-11-27T14:55:44.923883
What is the difference between a compiler and an interpreter?,A compiler translates an entire program into machine code before execution,while an interpreter translates and executes code line by line at runtime.,"Systems,Medium",2025-11-27T14:55:44.923886
What is dynamic programming in algorithms?,Dynamic programming (DP) is a method for solving complex problems by breaking them into subproblems and storing their solutions to avoid redundant computations (memoization).,Algorithms,Medium,2025-11-27T14:55:44.923891
Explain Dijkstra's shortest path algorithm.,Dijkstra's algorithm finds the shortest path from a source node to all other nodes in a weighted graph with non-negative edge weights by greedily selecting the next closest node.,Algorithms,Medium,2025-11-27T14:55:44.923895
What is a stack overflow in programming?,A stack overflow occurs when recursive calls exceed the allocated stack memory,causing programs to terminate abnormally due to lack of space for function calls.,"Software Engineering,Easy",2025-11-27T14:55:44.923899
What is page replacement in operating systems?,Page replacement is the process of removing pages from memory to load new ones when the available memory is full,using algorithms like LRU (Least Recently Used).,"Operating Systems,Medium",2025-11-27T14:55:44.923902
What is a recursive algorithm?,A recursive algorithm solves a problem by calling itself with smaller or simpler inputs until reaching a base case.,Algorithms,Easy,2025-11-27T14:55:44.923906
What is a queue in data structures?,A queue is a linear data structure that follows the First-In-First-Out (FIFO) principle,with elements added at the rear and removed from the front.,"Data Structures,Easy",2025-11-27T14:55:44.923909
What is the purpose of a firewall in networking?,A firewall monitors and controls incoming/outgoing network traffic based on predefined security rules to protect systems from unauthorized access.,Security,Easy,2025-11-27T14:55:44.923912
